Population,Generation,GFP,wbar,ubar
14,9,1.0,1.6242500658014851,2.80275
14,10,1.0,1.675749004533884,3.00281
14,11,1.0,1.686801874142428,3.06192
14,12,1.0,1.7870270379380468,3.52158
15,0,0.5,1.0,0.0
15,1,0.50036,1.0000311961647363,0.00102
15,2,0.50168,1.0005517760982112,0.00594
15,3,0.46238,1.0132896725183487,0.09775
15,4,0.13715,1.1102167943708656,0.75766
15,5,0.00911,1.1462497120103947,0.99487
15,6,0.00085,1.156974185599802,1.05067
15,7,8e-05,1.306029951678675,1.74241
15,8,0.0,1.3673330224873692,2.0162
15,9,0.0,1.4900472627940728,2.5335
15,10,0.0,1.598282565100563,2.99103
15,11,0.0,1.6041877716433766,3.02562
15,12,0.0,1.621766852127898,3.14236
16,0,0.5,1.0,0.0
16,1,0.50085,1.0000982520162034,0.00176
16,2,0.49676,1.0018254840627547,0.01656
16,3,0.39907,1.0390998194762902,0.27995
16,4,0.08249,1.1414674268253362,0.94354
16,5,0.01745,1.1586215232787103,1.04181
16,6,0.00381,1.1907024973831088,1.29421
16,7,0.00027,1.2624067631763767,1.84085
16,8,4e-05,1.302953021548677,2.06716
16,9,0.0,1.411471902273923,2.64613
16,10,0.0,1.4660141503932704,2.97386
16,11,0.0,1.5851701453216327,3.37626
16,12,0.0,1.7796088303036592,3.99595
17,0,0.5,1.0,0.0
17,1,0.49891,1.000055164437973,0.00087
17,2,0.51028,1.001730910068855,0.01264
17,3,0.68594,1.0849005645291387,0.42083
17,4,0.98352,1.2085904047625262,0.98849
17,5,0.99863,1.2129993610619727,1.008
17,6,0.99984,1.225261175115871,1.08438
17,7,0.99997,1.3678456422446255,1.75999
17,8,1.0,1.4336392854805693,2.00232
17,9,1.0,1.4775807447398774,2.16486
17,10,1.0,1.6723914992244746,2.91244
17,11,1.0,1.6994940894657287,3.0074
17,12,1.0,1.7124245852782392,3.06433
18,0,0.5,1.0,0.0
18,1,0.5038,1.0000734642031666,0.00179
18,2,0.50185,1.0003256057719518,0.00534
18,3,0.46878,1.01196889963841,0.06985
18,4,0.07189,1.1740937199546038,0.86536
18,5,0.00097,1.2031760747589229,1.0037
18,6,9e-05,1.2139467054249693,1.06326
18,7,0.0,1.3338271826284378,1.70162
18,8,0.0,1.3918447481505192,2.00081
18,9,0.0,1.4500903426369351,2.26804
18,10,0.0,1.63067479896727,2.99412
18,11,0.0,1.652468187651143,3.08703
18,12,0.0,1.7190087349641858,3.39991
19,0,0.5,1.0,0.0
19,1,0.50192,1.0000865794913167,0.00168
19,2,0.50946,1.0004713328812973,0.00802
19,3,0.50577,1.0032238497956738,0.04171
19,4,0.48301,1.0234415306980595,0.25494
19,5,0.52168,1.0859935526415772,0.83256
19,6,0.63213,1.1266590404612196,1.14217
19,7,0.67988,1.1564176820462415,1.35123
19,8,0.78534,1.2091337449819937,1.71843
19,9,0.90696,1.2464305534281785,1.96418
19,10,0.94957,1.2840108710282445,2.17908
19,11,0.96784,1.4102980918416024,2.85486
19,12,0.98384,1.4436191736743034,3.02769
20,0,0.5,1.0,0.0
20,1,0.49485,1.0000463623190863,0.00119
20,2,0.4911,1.0005714151613763,0.00746
20,3,0.46309,1.008670944448154,0.07527
20,4,0.25124,1.0771282786535026,0.59897
20,5,0.07838,1.128615926175625,0.97762
20,6,0.05109,1.1373001219373478,1.03649
20,7,0.02808,1.2253585042735784,1.49334
20,8,0.00293,1.341650141971902,1.98388
20,9,0.0001,1.3646035960986818,2.01204
20,10,1e-05,1.4138732373869574,2.19294
20,11,0.0,1.6209023083485692,2.92477
20,12,0.0,1.675584013213261,3.00287
21,0,0.5,1.0,0.0
21,1,0.50504,1.0000212451229518,0.00091
21,2,0.50931,1.0000620399474678,0.00265
21,3,0.5121,1.000202374028624,0.0061
21,4,0.51179,1.0021458121910058,0.02358
21,5,0.26405,1.1222777778379986,0.54261
21,6,0.00385,1.238419102431693,0.99834
21,7,0.00013,1.2411876012593848,1.01499
21,8,0.0,1.262196410152595,1.1505
21,9,0.0,1.3845831625244647,1.86947
21,10,0.0,1.458507265374123,2.38628
21,11,0.0,1.5082328125490574,2.81852
21,12,0.0,1.532073991156335,3.01584
22,0,0.5,1.0,0.0
22,1,0.50085,1.0000666128535616,0.00159
22,2,0.49699,1.000298130275027,0.00601
22,3,0.50339,1.0014841536846488,0.02068
22,4,0.47374,1.0185712130016469,0.16504
22,5,0.1804,1.107240018794843,0.79377
22,6,0.02837,1.1470830551314362,1.03854
