Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-86 	 0.50316 	 0.4911 	 0.44308 	 0.24046 	 0.0598 	 0.01533 	 1.00006 	 1.0006 	 1.00473 	 1.02328 	 1.03838 	 1.04131 
POP-87 	 0.51206 	 0.50494 	 0.49981 	 0.60798 	 0.95607 	 0.9977 	 1.00002 	 1.00005 	 1.00048 	 1.01384 	 1.06078 	 1.06598 
POP-88 	 0.49759 	 0.49395 	 0.45308 	 0.20931 	 0.04288 	 0.01586 	 1.00005 	 1.00056 	 1.00545 	 1.02547 	 1.03927 	 1.04277 
POP-89 	 0.49698 	 0.49047 	 0.50151 	 0.51594 	 0.58569 	 0.77988 	 1.00004 	 1.00006 	 1.00024 	 1.00124 	 1.00658 	 1.02311 
POP-90 	 0.49748 	 0.5058 	 0.5153 	 0.48487 	 0.33555 	 0.09292 	 1.00002 	 1.0001 	 1.00057 	 1.00312 	 1.01549 	 1.04027 
POP-91 	 0.50412 	 0.51321 	 0.51435 	 0.57048 	 0.81181 	 0.94117 	 1.00003 	 1.00015 	 1.00098 	 1.01017 	 1.03935 	 1.05123 
POP-92 	 0.49889 	 0.49943 	 0.48716 	 0.45793 	 0.35493 	 0.18513 	 1.00002 	 1.00015 	 1.00062 	 1.00226 	 1.0084 	 1.01886 
POP-93 	 0.49977 	 0.51049 	 0.52712 	 0.56472 	 0.78907 	 0.96236 	 1.00002 	 1.00008 	 1.00065 	 1.0052 	 1.028 	 1.0445 
POP-94 	 0.50802 	 0.49742 	 0.50667 	 0.57974 	 0.81192 	 0.90916 	 1.00003 	 1.00014 	 1.00115 	 1.01027 	 1.03673 	 1.04647 
POP-95 	 0.4936 	 0.48784 	 0.68337 	 0.96405 	 0.99166 	 0.99731 	 1.00007 	 1.00136 	 1.02447 	 1.05809 	 1.06457 	 1.07734 
POP-96 	 0.50467 	 0.5107 	 0.52351 	 0.54695 	 0.66209 	 0.84314 	 1.00004 	 1.00016 	 1.0007 	 1.00398 	 1.01604 	 1.03067 
POP-97 	 0.49899 	 0.49237 	 0.49528 	 0.49209 	 0.48111 	 0.55006 	 1.00002 	 1.00008 	 1.00033 	 1.00157 	 1.00803 	 1.02453 
POP-98 	 0.50707 	 0.52746 	 0.64454 	 0.98939 	 0.99991 	 1 	 1.00004 	 1.00073 	 1.01923 	 1.09961 	 1.11016 	 1.11927 
POP-99 	 0.49442 	 0.49667 	 0.49431 	 0.50821 	 0.62327 	 0.81503 	 1.00002 	 1.00027 	 1.00099 	 1.00521 	 1.01928 	 1.0328 
POP-100 	 0.4963 	 0.49008 	 0.46427 	 0.41224 	 0.24574 	 0.05543 	 1.00002 	 1.00012 	 1.0009 	 1.00396 	 1.01598 	 1.03787 
