Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-55 	 0.540958 	 0.999958 	 1 	 1 	 1 	 1 	 1.41413 	 3.10235 	 5.72784 	 15.2191 	 29.6554 	 87.6461 
POP-56 	 0.601925 	 0.565908 	 0.995725 	 1 	 1 	 1 	 1.47705 	 2.50304 	 5.69944 	 18.3943 	 36.2191 	 68.1196 
POP-57 	 0.392283 	 0 	 0 	 0 	 0 	 0 	 1.5543 	 3.71974 	 9.08307 	 16.0347 	 37.3258 	 76.1774 
POP-58 	 0.5118 	 0.990775 	 1 	 1 	 1 	 1 	 1.54162 	 4.01402 	 8.93249 	 21.511 	 48.9684 	 104.122 
POP-59 	 0.997117 	 1 	 1 	 1 	 1 	 1 	 2.00468 	 3.869 	 10.5977 	 22.3441 	 43.2609 	 79.4361 
POP-60 	 0.0324083 	 8.33333e-06 	 0 	 0 	 0 	 0 	 1.86109 	 3.4141 	 5.76122 	 13.5699 	 26.09 	 54.4682 
POP-61 	 0.000175 	 0 	 0 	 0 	 0 	 0 	 1.9891 	 4.11959 	 11.2369 	 24.1404 	 60.1298 	 190.17 
POP-62 	 0.210267 	 0.007775 	 0 	 0 	 0 	 0 	 1.53407 	 3.6762 	 8.73402 	 28.1499 	 60.708 	 170.267 
POP-63 	 0.966842 	 1 	 1 	 1 	 1 	 1 	 1.6974 	 3.55272 	 6.97665 	 15.1878 	 28.5924 	 58.277 
POP-64 	 0 	 0 	 0 	 0 	 0 	 0 	 2.38409 	 5.61702 	 9.72782 	 26.1751 	 57.9073 	 204.016 
POP-65 	 0.000625 	 0 	 0 	 0 	 0 	 0 	 2.18147 	 4.08943 	 8.95915 	 16.2201 	 36.9344 	 76.6214 
