n1,n2,n3,n4,n5,n6,v,pattr,alpha,nt,mu,ns,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,pls1,pls2,pls3,pls4,pls5,pls6,weighting,Score
7.340250288,7.537689969,7.380989913,6.178784096,6.612302949,7.739538759,1.54111526,0.471311738,0.096949494,2.84493634,-3.26699123,6.035207537,-0.592194925,0.352054041,-0.089264053,-0.033725807,-0.101580765,0.201638886,0.010010148,0.059124933,-0.07474243,0.042780252,-0.292970591,0.482892248,-0.167555221,0.030231573,0.144595777,-0.047994955,0.080270062,0.120742382,-0.119607785,0.021362735,-0.155630522,-0.259733079,0.283124147,-0.011144029,0.158663413,0.012414011,0.221350823,-0.473817364,0.038587489,-0.045960499,0.503665968,-1.993242126,0.186047204,0.032505168,0.010988493,0.072712246,-0.104913709,0.159580833,-0.135000698,-0.090829179,-0.348066195,0.855593343,0.00125977,0.080217075,0.6484698,-0.430479294,0.17661162,-0.401909306,0.052883478,-0.005631525,0.619635172,-0.03782378,0.171138974,0.120290617,0.342933014,0.013439158,0.029352379,-0.27301587,0.001075864,-0.092873318,-0.265561093,-0.600259353,0.384750821,0.218374598,1.204069733,-0.178269948,0.001074442,1.451936204
6.444995587,6.37337316,7.79606711,7.807267535,7.791430637,6.954769186,-3.33372513,0.917490015,0.468179521,0.930094796,-4.994786474,5.645608388,0.409215434,0.093380432,0.112398051,0.00941316,0.019818261,0.167281061,-0.011643553,-0.032587,-0.009346584,-0.048412912,0.581923354,-0.515531299,0.040283897,0.051766569,0.100095883,-0.087348135,0.059698082,0.087197208,-0.009021248,0.012400583,-0.551512849,-0.090436338,0.266119736,-0.201623361,-0.137376593,0.100672216,0.327291367,-0.200882939,0.005935854,0.009114733,-1.839525335,1.488361156,-0.010374348,-0.360076875,-0.186607764,0.252029112,0.225003732,0.097062049,-0.126060819,0.05490653,-1.829529444,0.423723265,0.071443774,-0.001834887,-0.054022559,0.028754847,0.125000946,0.092636963,-0.106861828,-0.04113657,2.716110394,-0.026260603,0.536209982,0.004311152,0.526115823,0.04584719,0.131495139,-0.568067462,0.129825977,-0.218856813,-0.513318446,1.373236613,1.016081092,-0.498044242,0.268023051,0.507236291,0.001961458,1.938780154
7.726718061,7.437368917,6.822494517,6.245261984,6.325417577,7.594137001,1.370485183,0.439200438,0.508314017,1.063742704,-3.949989518,5.542397129,0.266310267,0.534608143,0.013047715,-0.083291254,-0.132884114,0.224182825,0.02478901,0.320880228,-0.033149107,0.058614873,0.374422607,0.955791726,-0.125098751,-0.120795159,0.169345028,-0.189851211,0.113327958,0.198769549,-0.024036971,0.058748721,0.41730754,-0.805133151,0.269677861,0.072741836,0.06076339,0.111412154,0.05454785,-0.386840174,0.08676338,-0.034326914,-1.445478476,-0.772851661,-0.045274576,0.040605745,-0.133975387,0.290573977,0.192984313,-0.0932745,-0.184444366,0.050236409,-0.381980694,-0.113797809,-0.058441692,0.031559286,0.208600442,-0.231154818,0.205378629,-0.08670776,0.03620052,0.110254951,1.52503023,0.596484571,0.052080397,-0.104966231,0.249185565,0.104900475,0.125370651,-0.091084591,0.018161819,-0.01420169,0.755611473,0.39510182,0.105990953,-0.164145776,0.421034924,0.310063401,0.001148938,1.019137765
6.954557778,7.498380575,6.476462745,6.566345464,7.392614742,6.858124935,-4.134335995,0.232515395,0.13064848,2.416244629,-3.335675245,5.564947304,-0.178648533,0.198237004,0.186358731,0.074470114,0.313194851,0.069565832,0.12050828,-0.410199983,-0.043191479,-0.104724487,-0.961132481,0.299590583,-0.116025074,0.083591653,0.292824473,-0.290870569,0.178019054,-0.034103363,-0.105982914,0.029904863,1.171118742,-1.136975748,0.391157409,0.006793357,-0.036469962,0.058000595,0.135011583,-0.150374763,0.158921265,0.010086319,-1.609647053,0.133575483,-0.125440461,0.108271526,0.048499498,0.249968762,0.089891277,-0.098354777,-0.234223687,-0.018722526,-0.059128883,-0.018065263,0.183133559,0.160347944,0.149943482,-0.024979448,-0.106863232,0.073401711,0.001954787,-0.08797324,1.179407733,-0.382202638,0.356160542,0.052971528,0.440466061,0.075289904,0.193895675,-0.589942559,0.023912068,-0.146248154,-0.458030475,-0.905840579,0.875344707,0.486446122,1.208458403,0.136975075,9.68E-04,1.874121431
7.459972781,7.18320681,6.439030015,7.140209757,6.315605959,6.051631916,1.326317996,0.466377746,0.328415229,1.262252116,-3.717461936,5.5119562,-0.17467001,0.551237667,-0.021028837,-0.205184151,-0.223056752,0.213848071,0.102643239,0.162874151,-0.008119396,0.091704534,-0.188916706,0.606431792,-0.131108647,-0.065187421,0.063471615,-0.100214288,0.060469535,0.133616569,-0.077476968,9.40E-04,2.079457881,-1.312891297,0.323659224,0.019770622,0.046276469,0.013491936,0.087385545,-0.131434962,0.153643342,-0.009067104,-1.108959444,1.646308985,-0.138096656,-0.147609241,0.532849829,5.62E-04,0.420058863,-0.419876543,-0.218288649,-0.001319623,-1.384609994,-0.706687196,-0.071704985,0.353503827,0.225466649,-0.024586754,-0.117594788,0.03806241,-0.11767759,0.002319511,1.256183376,-1.190087876,0.395630027,0.206325619,0.373276671,0.155089255,-0.045709976,-0.359976569,0.020227481,-0.152458279,0.478485102,-0.405687924,0.357350126,0.161619255,1.018284482,0.258190161,7.42E-04,1.284879771
6.786605828,7.456991106,6.177675703,7.05038272,7.87625224,7.653295542,1.416872734,0.71923529,0.36821714,1.463336098,-4.20282528,5.534143739,0.628851429,-0.767903088,0.076654116,-0.008750681,-0.49330091,0.369082572,-0.058528347,0.60988812,-0.086974959,0.045552462,-0.184552259,-0.379875022,0.131920862,0.106682566,-0.246287187,0.124506882,-0.039454714,0.70720374,-0.093639827,-0.00891161,1.519897628,-1.689239008,0.402601745,0.173375314,0.13198347,-0.018858283,-0.161283534,-0.253924345,0.168060964,-0.097442954,-1.292886344,0.454425783,-0.069183674,-0.080527502,-0.094492271,0.219419983,0.157838517,-0.006070147,-0.135242994,0.040321816,-1.572798149,2.075240364,-0.054022365,-0.482981968,-0.044232347,0.136472987,0.483603666,0.332502174,-0.216898876,0.099423327,1.233012014,0.813469997,-0.022929585,-0.179205696,0.176828575,0.229247955,0.310662144,0.142571962,-0.065872436,0.090183152,0.331524318,0.506119028,0.4650411,-0.471407967,-0.569500671,1.059872096,8.36E-04,1.500737623
6.255973397,7.482688994,7.619908181,6.515021855,6.177053787,7.999009886,-1.190730774,0.505233606,0.496763475,1.007758557,-3.990401347,5.24863988,0.847095798,-0.887890572,0.248950743,0.075751069,-0.192056777,0.30648306,-0.12167999,0.1923459,-0.058238388,-0.104426531,-1.614795176,0.56673878,-0.014408571,0.003076254,0.252109522,-0.345015372,0.296632671,-0.003438477,-0.138901887,0.002515473,0.132993276,-0.152341782,0.295074326,-0.106331308,-0.280303922,0.161960147,-0.005425937,0.14384129,0.068913289,-0.053956728,-1.368955419,-0.496594306,-0.073299091,0.146558399,-0.201468645,0.330488573,-0.052361432,0.228645466,-0.222096701,-0.018324619,0.167147012,-0.379451369,0.123561797,0.142759871,0.060629215,0.074480294,-0.090415502,0.082487258,-0.001143761,-0.01813328,1.293074326,0.979970808,0.255631762,-0.156785514,0.297305947,0.18013717,0.229425652,-0.132082139,0.006502388,-0.063146562,-0.543440183,-0.369568441,0.835510967,0.10502877,-0.063784661,0.70853387,0.001266256,1.283396435
6.620492153,6.828875793,6.234255436,6.540584939,6.585968294,6.234019625,1.014346893,0.840431711,0.090418292,2.979173459,-3.268249271,5.575894595,-0.604615252,0.219807474,0.115795266,0.026721247,0.25139359,-0.060977995,0.222730374,-0.258820695,-0.061077298,-0.022166533,-0.359834911,0.623519301,-0.032557434,-0.019771749,0.139148679,-0.082086963,0.045870165,-0.006525987,-0.035103292,-0.011479094,1.426206979,-1.04694167,0.35857128,0.168981873,0.214395025,0.043025169,-0.073411304,-0.347590963,0.159080772,-0.077830473,-1.130005478,0.513941653,-0.241532778,-0.069982121,0.033825307,-0.016352206,0.16443194,0.037576694,-0.120906914,0.092768765,-1.060617397,0.077917026,-0.05060845,0.092062745,0.178328954,0.092088638,0.127108084,-0.270977439,-0.083069925,0.013242321,2.436640774,0.394524378,0.438431387,-0.017001079,0.616871374,-0.092636504,0.104395388,-0.595860842,0.164217997,-0.194069426,0.707774715,0.782768162,0.58809927,0.181010914,1.433962929,-0.116939861,7.67E-04,1.887384793
7.602403149,7.168771559,7.618556835,7.483702,7.05661772,6.496177188,-3.00005691,0.632172489,0.218525395,1.695749421,-4.977127332,5.712113735,0.752273704,0.11413662,0.136953424,-0.187522879,-0.153110796,0.123432012,0.201047101,0.146512987,0.038570228,0.055332218,-0.451558319,-0.516675279,-0.092479766,0.147298829,0.080167273,-0.03075274,0.046858356,0.162724555,-0.140239628,0.012651652,1.34983752,0.082266528,0.522304359,-0.158309416,-0.171096139,0.269236414,0.036023378,0.004859105,0.163580921,-0.066602147,-1.101060788,-0.074650539,0.030027282,-0.010644433,-0.178842603,0.327252867,0.042975983,-0.050542781,-0.124827593,-0.029963677,-1.523649428,0.376923598,0.063731868,0.197407614,0.729720371,-0.538708436,0.419192834,-0.374477741,-0.088286258,0.013421877,2.301518016,-0.603287309,0.441482502,0.051525669,0.271066147,0.220000814,-0.022144632,-0.34920773,0.062737093,-0.193499432,1.327360706,-0.621286382,1.10201967,0.039755384,0.577904253,0.370460931,8.25E-04,1.958347692
7.103868285,6.965850429,6.644162019,7.072963869,6.944840482,7.270332113,-3.608199511,0.649999538,0.465978253,1.16398374,-4.652529284,5.307472749,-0.045456428,0.075878655,0.21158127,-0.025657565,-0.048539089,0.24750467,0.048338148,-0.125097412,-0.013622604,-0.057658343,0.174901408,-0.423038026,-0.29439613,0.027790843,-0.187878122,0.080466912,0.053971013,0.504956847,-0.128315213,0.147986709,1.414408644,-1.246944839,0.241523511,0.164288536,0.065570806,0.183615124,-0.144446997,-0.256620698,0.097641431,-0.069443617,-1.24484101,0.444052276,-0.166869282,-0.062178063,-0.041019097,0.289546056,0.146828072,-0.153998548,-0.189980633,0.015050779,-1.710622516,-0.215611697,0.020639024,0.251383222,0.384801492,-0.240105604,0.129999334,-0.221564314,-0.091787462,-0.010756701,1.574565998,0.508900054,0.258639885,-0.084462609,0.361768375,0.10155486,0.139757128,-0.415639782,0.077857293,-0.098300954,0.162956096,-0.856763576,0.271118278,0.271164364,0.534704365,0.662582018,6.43E-04,1.27771571
