Bug 1,Bug 2,Carbon,1 on 2: Effect,2 on 1: Effect,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
RP2,EA,Acetate,1.688795732,-0.72250482,-0.364223032,0.066582408,-0.725165275,-0.947123812,-0.696975019,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.792851826,0.117358038,-0.728605914,0.258253314
RP1,EA,Acetate,1.609047821,-0.04458801,-0.161343665,0.090318124,-0.725165275,-0.960912492,-0.696975019,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.796280534,0.113226274,-0.728605914,0.258253314
SF1,EA,Acetate,-0.163005821,0.035468226,-0.832443111,0.058626543,-0.725165275,-0.835507145,-0.696975019,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.735447249,0.247141093,-0.728605914,0.258253314
KA,EA,Acetate,-0.130117238,1.184790261,-0.842863564,0.124036295,-0.725165275,-0.781634643,-0.696975019,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.761258362,0.059888798,-0.728605914,0.258253314
EC,EA,Acetate,0.50926601,1.831968347,-0.671409558,1,-0.725165275,-0.570535161,-0.696975019,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.643519307,-0.047828461,-0.728605914,0.258253314
EA,EA,Acetate,-0.062125919,-0.062125919,-0.725165275,0,-0.725165275,-0.696975019,-0.696975019,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.728605914,0.258253314,-0.728605914,0.258253314
PK,EA,Acetate,1.235859097,0.023589177,0.058769085,0.685119033,-0.725165275,-0.488935089,-0.696975019,-2.580535726,0.565009442,0.457130669,-0.212694531,1.734465091,0.034364534,-0.728605914,0.258253314
PR1,EA,Acetate,3.245092239,0.112655473,0.085713733,0.590494955,-0.725165275,-0.548260352,-0.696975019,-2.580535726,0.565009442,0.457130669,-0.212694531,1.621486475,-0.002116133,-0.728605914,0.258253314
PAr,EA,Acetate,1.122563209,-0.127224687,-0.170784031,0.440945374,-0.725165275,-0.712932431,-0.696975019,-2.580535726,0.565009442,0.457130669,-0.212694531,1.577952578,-0.014274806,-0.728605914,0.258253314
PR2,EA,Acetate,0.612583466,0.10378311,0.005732631,0.536130227,-0.725165275,-0.70959221,-0.696975019,-2.580535726,0.565009442,0.457130669,-0.212694531,1.639875556,0.005653129,-0.728605914,0.258253314
