,0,1,2,3,4,5,6,7,8,9
76,-0.071640104,0.2359662,0.0105032325,-0.054944694,0.029856041,0.0777929,-0.17697674,-0.2022726,0.31722194,0.074148454
77,-0.024336472,-0.298446,-0.08685382,-0.12846422,-0.37107944,0.2258451,0.16200742,-0.002225086,0.08806312,0.089820266
78,0.026906908,-0.34069425,-0.22752333,-0.20905823,0.23264825,-0.081802204,-0.21092528,-0.3590175,0.23945129,0.05200368
79,-0.21247375,-0.28034776,0.07573998,0.07397029,0.14321783,0.17736644,0.37860698,0.23498785,-0.21688569,0.35463363
80,0.052238107,0.3100139,-0.19360292,0.08056651,-0.024491355,0.29360658,0.27215886,-0.2386806,-0.047177076,-0.24889553
81,0.20798028,-0.07401341,0.014945447,-0.19353116,0.048226535,0.22866237,0.2636506,-0.021936744,0.093241155,-0.241386
82,-0.0664801,-0.118483305,-0.08916286,-0.054657444,0.062556505,0.00021748245,-0.17814744,0.06877601,0.03919971,-0.092164636
83,0.16380799,-0.09830981,0.1238479,-0.045968667,0.0900172,-0.20362878,0.0080821365,-0.031645723,0.032792717,-0.05799496
84,-0.109837085,-0.20911765,-0.1780921,0.032980144,0.2838061,-0.12092608,0.26139694,-0.03274849,0.13486126,0.17951468
85,-0.18464145,-0.3073321,-0.06405592,0.25666207,0.18910646,-0.18971598,-0.09649566,-0.117972255,0.0946129,0.24267644
86,0.27028698,-0.09379133,0.013082951,-0.13252479,-0.2713639,0.3733251,0.1626308,-0.012206037,0.004288703,0.18497175
87,0.095502526,0.14768937,-0.019765139,-0.09460072,-0.17184313,-0.17671269,-0.23620489,0.40761992,0.18658498,-0.104605585
88,-0.09318575,-0.1696423,0.09347671,0.21081138,0.020531893,0.007312298,0.044967353,0.12874022,0.15908968,0.19554096
89,0.14955455,0.13168234,-0.27526876,0.3576696,0.040615126,0.08124918,0.050490614,0.006169215,0.19940048,-0.256123
90,-0.17302293,-0.07400239,0.11144847,-0.0961708,0.020055711,0.16407335,-0.1093317,0.22485119,0.06922391,-0.20753509
91,0.0384337,0.09073624,0.050738156,0.19642584,-0.031603873,-0.13159531,0.22493237,-0.21050924,-0.25146967,-0.29094696
92,0.27855998,-0.06750551,-0.09613815,0.1524136,-0.031166494,0.24254858,0.31991202,0.23435405,-0.0077108108,-0.10521448
93,0.04341711,0.24305767,0.2107163,-0.025519252,0.26182055,0.22908825,-0.3471679,0.0665347,0.07870078,0.028289497
94,-0.14768322,0.20700312,0.07639167,-0.10091705,-0.09983902,-0.09003919,0.1435687,0.15250391,0.097065255,-0.0055953264
